               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084656,            0.040702,                   0,              0.2501,             0.33562,             0.18771,            0.043566,            0.066606,            0.022268,                   0,           0.0033287,           0.0033287,            0.070042
                   1,            0.062912,            0.034909,                   0,             0.47941,             0.38469,             0.35709,             0.11501,             0.05508,            0.020077,                   0,           0.0066561,           0.0066561,            0.040036
                   2,            0.058328,            0.033579,                   0,             0.38848,              0.3834,             0.29144,            0.089337,            0.057351,            0.019401,                   0,           0.0099599,           0.0099599,            0.010006
                   3,             0.05517,            0.034032,                   0,              0.6104,             0.41708,             0.46713,             0.17019,            0.050486,            0.020074,                   0,           0.0099203,           0.0099203,           0.0099203
                   4,            0.051819,            0.031849,                   0,             0.55432,             0.47792,             0.47509,             0.18365,            0.049277,            0.019245,                   0,           0.0099203,           0.0099203,           0.0099203
                   5,            0.049079,            0.033538,                   0,             0.48435,             0.53189,             0.47721,             0.18262,            0.047456,            0.019201,                   0,           0.0098586,           0.0098586,           0.0098586
                   6,            0.048694,            0.034306,                   0,             0.53107,             0.48902,             0.49009,             0.18984,            0.047091,            0.018972,                   0,           0.0097798,           0.0097798,           0.0097798
                   7,             0.04675,            0.032796,                   0,             0.55405,             0.51619,             0.49098,             0.19728,            0.046474,             0.01876,                   0,            0.009684,            0.009684,            0.009684
                   8,            0.046552,            0.032169,                   0,             0.50614,             0.48479,             0.45283,             0.15789,             0.04893,            0.018912,                   0,           0.0095717,           0.0095717,           0.0095717
                   9,            0.045315,             0.03129,                   0,             0.56583,             0.57605,             0.55075,             0.22682,            0.045179,            0.018343,                   0,           0.0094434,           0.0094434,           0.0094434
                  10,            0.044422,            0.032647,                   0,             0.58555,             0.53658,             0.54306,             0.22192,            0.045952,            0.018635,                   0,           0.0092995,           0.0092995,           0.0092995
                  11,             0.04502,            0.032351,                   0,             0.61137,             0.51619,             0.53143,             0.21609,            0.044864,            0.018432,                   0,           0.0091406,           0.0091406,           0.0091406
                  12,            0.043837,            0.032197,                   0,             0.60831,             0.52734,             0.54628,             0.22705,            0.044155,            0.018375,                   0,           0.0089673,           0.0089673,           0.0089673
                  13,            0.042913,            0.031214,                   0,             0.53931,             0.58292,             0.55507,             0.22679,            0.043637,            0.018333,                   0,           0.0087804,           0.0087804,           0.0087804
                  14,            0.042483,             0.03073,                   0,             0.56351,             0.58391,             0.56026,             0.23794,            0.042925,            0.018373,                   0,           0.0085805,           0.0085805,           0.0085805
                  15,            0.042343,            0.032496,                   0,             0.61304,             0.50529,             0.54227,             0.21693,            0.044669,            0.018642,                   0,           0.0083684,           0.0083684,           0.0083684
                  16,            0.041863,            0.031466,                   0,             0.58746,             0.57015,             0.54402,             0.22346,            0.044194,             0.01829,                   0,            0.008145,            0.008145,            0.008145
                  17,             0.04193,            0.030056,                   0,             0.63047,             0.55152,             0.56912,             0.24774,            0.044584,             0.01818,                   0,           0.0079112,           0.0079112,           0.0079112
                  18,            0.041201,            0.032175,                   0,              0.6868,              0.5466,             0.59845,              0.2677,            0.042689,            0.018264,                   0,           0.0076679,           0.0076679,           0.0076679
                  19,            0.041126,            0.029943,                   0,             0.64798,             0.58587,             0.61194,             0.26018,            0.043235,            0.018178,                   0,            0.007416,            0.007416,            0.007416
                  20,            0.040313,             0.02955,                   0,             0.60421,              0.6055,             0.60181,             0.25635,            0.042722,            0.018355,                   0,           0.0071566,           0.0071566,           0.0071566
                  21,            0.039896,            0.029743,                   0,             0.59136,             0.61918,             0.60198,             0.26338,            0.042051,            0.018112,                   0,           0.0068906,           0.0068906,           0.0068906
